name,x,y
Chanel,-0.628791523588,-0.284106687926
Louis Vuitton,-0.528706154977,-0.0740270687865
Christian Dior,-0.589754024767,-0.247165525687
Tiffany,-0.477940380201,-0.205749227572
Rolex,-0.601855423649,0.0909160169617
Burberry,-0.351457868396,0.481954691982
Ralph Lauren,-0.205320820713,0.43192054011
Benetton,0.452632871914,-0.158050010958
Uniqlo,1.28567752148,0.0172988891191
H&M,1.34583409811,-0.202488824297
GAP,1.16660423826,0.0770798953825
luxurious,-0.610712111188,-0.105495471716
traditional,-0.567129652244,0.101954682582
intellectual,-0.492322662056,0.174194081828
brilliant,-0.558328100585,-0.503408318362
calm,-0.365102115523,0.536929402111
youthful,1.11167657213,-0.140036974783
friendly,1.05213506838,0.106461147403
simple,0.570904512275,0.289501121809
energetic,1.3408497548,-0.211514878401
